"setze_spanisch","setze_deutsch","thema","schwirig_id"
"Mi casa es más grande que la tuya","Mein Haus ist größer als deins","Komparativ und Superlativ",0
"Este café es más fuerte que el té","Dieser Kaffee ist stärker als der Tee","Komparativ und Superlativ",0
"Mi perro es más viejo que el tuyo","Mein Hund ist älter als deiner","Komparativ und Superlativ",0
"Tu coche es más rápido que el mío","Dein Auto ist schneller als meins","Komparativ und Superlativ",0
"Hoy hace más frío que ayer","Heute ist kälter als gestern","Komparativ und Superlativ",0
"Este libro es más interesante que el otro","Dieses Buch ist interessanter als das andere","Komparativ und Superlativ",0
"Mi hermano es más alto que yo","Mein Bruder ist größer als ich","Komparativ und Superlativ",0
"Esta silla es más cómoda que esa","Dieser Stuhl ist bequemer als jener","Komparativ und Superlativ",0
"El pan de aquí es más fresco que el de allá","Das Brot hier ist frischer als dort","Komparativ und Superlativ",0
"El agua está más caliente que el café","Das Wasser ist heißer als der Kaffee","Komparativ und Superlativ",0
"Mi trabajo es más fácil que el tuyo","Meine Arbeit ist leichter als deine","Komparativ und Superlativ",1
"Tu ciudad es más grande que mi pueblo","Deine Stadt ist größer als mein Dorf","Komparativ und Superlativ",1
"El tren llega más rápido que el autobús","Der Zug kommt schneller als der Bus an","Komparativ und Superlativ",1
"Este restaurante es más caro que aquel","Dieses Restaurant ist teurer als jenes","Komparativ und Superlativ",1
"Su hija es más amable que su hijo","Seine Tochter ist freundlicher als sein Sohn","Komparativ und Superlativ",1
"Este pastel sabe mejor que el de ayer","Dieser Kuchen schmeckt besser als der von gestern","Komparativ und Superlativ",1
"El clima aquí es más seco que en mi país","Das Wetter hier ist trockener als in meinem Land","Komparativ und Superlativ",1
"Tu habitación es más limpia que la mía","Dein Zimmer ist sauberer als meins","Komparativ und Superlativ",1
"Mi madre cocina mejor que mi padre","Meine Mutter kocht besser als mein Vater","Komparativ und Superlativ",1
"Mi teléfono es más nuevo que el tuyo","Mein Handy ist neuer als deins","Komparativ und Superlativ",1
"Esta película es más larga que la anterior","Dieser Film ist länger als der vorige","Komparativ und Superlativ",1
"Tu mochila es más pesada que la mía","Dein Rucksack ist schwerer als meiner","Komparativ und Superlativ",1
"El invierno pasado fue más frío que este","Der letzte Winter war kälter als dieser","Komparativ und Superlativ",1
"Este camino es más corto que el otro","Dieser Weg ist kürzer als der andere","Komparativ und Superlativ",1
"Mis notas son mejores que las tuyas","Meine Noten sind besser als deine","Komparativ und Superlativ",1
"Berlin es más interesante que Hamburgo","Berlin ist interessanter als Hamburg","Komparativ und Superlativ",1
"Esta sopa es más salada que la de ayer","Diese Suppe ist salziger als die von gestern","Komparativ und Superlativ",1
"Tu jefe es más estricto que el mío","Dein Chef ist strenger als meiner","Komparativ und Superlativ",1
"Mi gato es más tranquilo que mi perro","Meine Katze ist ruhiger als mein Hund","Komparativ und Superlativ",1
"Tu hermano corre más rápido que tú","Dein Bruder läuft schneller als du","Komparativ und Superlativ",1
"Mi cocina es la más limpia de la casa","Meine Küche ist die sauberste im Haus","Komparativ und Superlativ",2
"Este hotel es el más caro de la ciudad","Dieses Hotel ist das teuerste in der Stadt","Komparativ und Superlativ",2
"Él es el más inteligente de la clase","Er ist der klügste in der Klasse","Komparativ und Superlativ",2
"Hoy es el día más caluroso del año","Heute ist der heißeste Tag des Jahres","Komparativ und Superlativ",2
"Este fue el viaje más bonito de mi vida","Das war die schönste Reise meines Lebens","Komparativ und Superlativ",2
"Mi abuela es la persona más amable del mundo","Meine Oma ist die freundlichste Person der Welt","Komparativ und Superlativ",2
"Este problema es más complicado de lo que pensé","Dieses Problem ist komplizierter als ich dachte","Komparativ und Superlativ",2
"Este examen fue más difícil que el anterior","Diese Prüfung war schwieriger als die vorige","Komparativ und Superlativ",2
"De todos los cafés, este es el más fuerte","Von allen Kaffees ist dieser der stärkste","Komparativ und Superlativ",2
"Mi jefe trabaja más duro que todos","Mein Chef arbeitet härter als alle anderen","Komparativ und Superlativ",2
"Este es el día más feliz de mi vida","Das ist der glücklichste Tag meines Lebens","Komparativ und Superlativ",2
"Mi hermana canta mejor que yo","Meine Schwester singt besser als ich","Komparativ und Superlativ",2
"El Everest es la montaña más alta del mundo","Der Everest ist der höchste Berg der Welt","Komparativ und Superlativ",2
"Este coche es el más rápido del grupo","Dieses Auto ist das schnellste in der Gruppe","Komparativ und Superlativ",2
"El examen de matemáticas fue el más difícil","Die Matheprüfung war die schwierigste","Komparativ und Superlativ",2
"Mi abuelo cuenta las historias más interesantes","Mein Opa erzählt die interessantesten Geschichten","Komparativ und Superlativ",2
"Entre todos los postres, este es el más delicioso","Unter allen Desserts ist dieses das leckerste","Komparativ und Superlativ",2
"Mi ciudad es la más grande de la región","Meine Stadt ist die größte in der Region","Komparativ und Superlativ",2
"Tu casa es más bonita que la mía","Dein Haus ist schöner als meines","Komparativ und Superlativ",2
"Este restaurante es el mejor de todos","Dieses Restaurant ist das beste von allen","Komparativ und Superlativ",2
"Este es el lugar más tranquilo del bosque","Das ist der ruhigste Ort im Wald","Komparativ und Superlativ",2
